日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-12-23,69.49,1.39,-267856368.0,-5.03,234594112.0,4.41,-502450480.0,-9.44,250128896.0,4.7,17727472.0,0.33
2025-12-24,69.03,-0.66,-181602912.0,-5.15,-382418592.0,-10.85,200815680.0,5.7,180956176.0,5.14,646768.0,0.02
2025-12-25,70.8,2.56,279461376.0,5.07,229686432.0,4.17,49774944.0,0.9,65536144.0,1.19,-344997504.0,-6.26
2025-12-26,71.16,0.51,-2898448.0,-0.06,-295074000.0,-6.29,292175552.0,6.23,91798624.0,1.96,-88900192.0,-1.9
2025-12-29,69.88,-1.8,-569789264.0,-12.33,-826316992.0,-17.88,256527728.0,5.55,246247680.0,5.33,323541584.0,7.0
2025-12-30,68.8,-1.55,-1262077856.0,-17.46,-1919721360.0,-26.56,657643504.0,9.1,362586624.0,5.02,899491216.0,12.45
2025-12-31,68.4,-0.58,-363184752.0,-11.56,-49892592.0,-1.59,-313292160.0,-9.97,175199616.0,5.58,187985136.0,5.98
2026-01-05,72.36,5.79,964387248.0,10.93,431903536.0,4.89,532483712.0,6.03,-234009792.0,-2.65,-730377456.0,-8.28
2026-01-06,74.32,2.71,17625776.0,0.16,-79860464.0,-0.73,97486240.0,0.9,538329072.0,4.95,-555954864.0,-5.12
2026-01-07,73.45,-1.17,-369890208.0,-5.44,-314767280.0,-4.63,-55122928.0,-0.81,183001376.0,2.69,186888816.0,2.75
2026-01-08,70.38,-4.18,-1778083344.0,-14.86,-1628293120.0,-13.6,-149790224.0,-1.25,580509840.0,4.85,1197573472.0,10.01
2026-01-09,69.0,-1.96,-3225541488.0,-22.58,-3662764128.0,-25.64,437222640.0,3.06,1672624416.0,11.71,1552917168.0,10.87
2026-01-12,67.55,-2.1,-2316501584.0,-18.46,-2931219600.0,-23.36,614718016.0,4.9,1030319168.0,8.21,1286182448.0,10.25
2026-01-13,68.2,0.96,-718089456.0,-6.94,-254426608.0,-2.46,-463662848.0,-4.48,121544000.0,1.18,596545456.0,5.77
2026-01-14,67.0,-1.76,-839332608.0,-8.66,-886407552.0,-9.15,47074944.0,0.49,475864752.0,4.91,363467856.0,3.75
2026-01-15,67.41,0.61,-240428272.0,-3.34,346567552.0,4.82,-586995824.0,-8.16,-225461632.0,-3.13,465889920.0,6.47
2026-01-16,66.33,-1.6,-293204464.0,-3.25,117030656.0,1.3,-410235120.0,-4.55,-537900288.0,-5.96,831104768.0,9.22
2026-01-19,66.3,-0.05,-139956224.0,-2.52,180504512.0,3.25,-320460736.0,-5.76,-101524768.0,-1.83,241480992.0,4.34
2026-01-20,66.6,0.45,332196848.0,5.02,287864272.0,4.35,44332576.0,0.67,-363859952.0,-5.5,31663120.0,0.48
2026-01-21,65.85,-1.13,-384161984.0,-6.2,-22079456.0,-0.36,-362082528.0,-5.84,-120326576.0,-1.94,504488560.0,8.14
2026-01-22,64.8,-1.59,-208861312.0,-2.8,16824560.0,0.23,-225685872.0,-3.03,-506606928.0,-6.79,715468256.0,9.6
2026-01-23,63.9,-1.39,-545987760.0,-6.03,-184375424.0,-2.04,-361612336.0,-4.0,-299786272.0,-3.31,845774032.0,9.35
2026-01-26,64.14,0.38,-236996640.0,-1.81,225438032.0,1.72,-462434672.0,-3.53,-420683792.0,-3.22,657680304.0,5.03
2026-01-27,65.31,1.82,666522256.0,6.75,660375040.0,6.69,6147216.0,0.06,-541853008.0,-5.49,-124669248.0,-1.26
2026-01-28,64.75,-0.86,-812409200.0,-6.27,-181918896.0,-1.4,-630490304.0,-4.87,-310766512.0,-2.4,1123175744.0,8.67
2026-01-29,68.0,5.02,967758080.0,5.29,1567545088.0,8.57,-599787008.0,-3.28,-774570528.0,-4.24,-193187968.0,-1.06
2026-01-30,66.75,-1.84,125618368.0,1.17,188953568.0,1.75,-63335200.0,-0.59,27804224.0,0.26,-153422576.0,-1.42
2026-02-02,66.02,-1.09,-264359936.0,-2.92,-279853248.0,-3.09,15493312.0,0.17,138904320.0,1.53,125455616.0,1.38
2026-02-03,66.58,0.85,647292688.0,9.43,137000752.0,2.0,510291936.0,7.44,-111774880.0,-1.63,-535517808.0,-7.8
2026-02-04,67.4,1.23,280682512.0,4.78,589273952.0,10.04,-308591440.0,-5.26,-264696416.0,-4.51,-15986096.0,-0.27
2026-02-05,67.35,-0.07,-296241696.0,-4.87,-274738976.0,-4.51,-21502720.0,-0.35,326649312.0,5.37,-30407600.0,-0.5
2026-02-06,66.9,-0.67,278213968.0,5.55,-70197600.0,-1.4,348411568.0,6.95,-258636608.0,-5.16,-19577360.0,-0.39
2026-02-09,68.7,2.69,509091456.0,7.3,459180496.0,6.58,49910960.0,0.72,-85382032.0,-1.22,-423709424.0,-6.08
2026-02-10,68.19,-0.74,218013072.0,5.82,-30884448.0,-0.83,248897520.0,6.65,-57658640.0,-1.54,-160354448.0,-4.28
2026-02-11,67.5,-1.01,-201328640.0,-4.82,-326608288.0,-7.82,125279648.0,3.0,1798176.0,0.04,199530448.0,4.78
2026-02-12,66.54,-1.42,-381136064.0,-8.82,-290968560.0,-6.73,-90167504.0,-2.09,118293712.0,2.74,262842352.0,6.08
