date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20240131,002594,171.09,170.73,175.28,170.32,125368.0,2155163736.0,2.88,-0.72,-1.24,1.08
20240201,002594,170.0,170.89,173.0,168.36,116651.0,1996429636.62,2.72,0.09,0.16,1.0
20240202,002594,170.96,167.0,171.88,163.01,147992.0,2485326236.05,5.19,-2.28,-3.89,1.27
20240205,002594,165.0,168.0,171.78,162.77,186216.0,3122618402.6,5.4,0.6,1.0,1.6
20240206,002594,166.0,175.87,176.11,165.5,176190.0,3054635572.85,6.32,4.68,7.87,1.51
20240207,002594,177.25,179.56,183.0,176.1,160094.0,2880398921.91,3.92,2.1,3.69,1.38
20240208,002594,181.49,181.17,183.35,180.7,119246.0,2168509150.22,1.48,0.9,1.61,1.02
20240219,002594,183.88,183.5,185.35,181.84,119687.0,2192419553.49,1.94,1.29,2.33,1.03
20240220,002594,183.5,179.02,183.68,177.0,113357.0,2023820071.64,3.64,-2.44,-4.48,0.97
20240221,002594,177.1,183.0,185.6,176.66,147693.0,2700340930.5,4.99,2.22,3.98,1.27
20240222,002594,182.9,182.99,183.64,181.26,80906.0,1476863326.44,1.3,-0.01,-0.01,0.69
20240223,002594,182.99,182.68,183.99,180.83,91175.0,1660682308.43,1.73,-0.17,-0.31,0.78
20240226,002594,186.0,186.0,190.13,185.55,155461.0,2912982360.47,2.51,1.82,3.32,1.34
20240227,002594,187.45,193.7,193.93,187.2,206343.0,3958101886.88,3.62,4.14,7.7,1.77
20240228,002594,196.0,188.0,196.52,188.0,168292.0,3223632042.64,4.4,-2.94,-5.7,1.45
20240229,002594,187.01,191.2,191.61,186.19,122363.0,2323915656.97,2.88,1.7,3.2,1.05
20240301,002594,190.9,192.18,192.98,188.77,122158.0,2336111333.57,2.2,0.51,0.98,1.05
20240304,002594,190.0,189.27,191.7,188.1,126865.0,2401200046.06,1.87,-1.51,-2.91,1.09
